movie_id,title,year,genres,keywords,cast,director,overview,vote_average,vote_count,popularity,runtime,poster_url,source,avg_user_rating,user_rating_count
376867,Moonlight,2016,Drama,"identity|masculinity|childhood|queer romance|miami","Trevante Rhodes|André Holland|Janelle Monáe|Mahershala Ali|Naomie Harris",Barry Jenkins,"A young man navigates childhood, desire, and selfhood across three fragile stages of life in Miami.",8.0,7210,31.8,111,,demo_curated,4.4,7920
37799,The Social Network,2010,Drama,"startup|ambition|betrayal|college|technology","Jesse Eisenberg|Andrew Garfield|Justin Timberlake|Armie Hammer|Max Minghella",David Fincher,"The founding of Facebook becomes a sharp-edged story of ambition, ego, and fractured friendship.",7.8,11980,42.6,121,,demo_curated,4.2,11220
545611,Everything Everywhere All at Once,2022,Action|Adventure|Science Fiction|Comedy,"multiverse|family|immigrant experience|absurdism|parallel lives","Michelle Yeoh|Ke Huy Quan|Stephanie Hsu|Jamie Lee Curtis|James Hong",Daniel Kwan,"A stressed laundromat owner is thrust into a chaotic multiverse battle where empathy becomes the key to saving reality.",8.1,9680,66.7,140,,demo_curated,4.4,13110
438631,Dune,2021,Science Fiction|Adventure,"desert planet|messiah|politics|prophecy|house rivalry","Timothée Chalamet|Rebecca Ferguson|Oscar Isaac|Zendaya|Jason Momoa",Denis Villeneuve,"A gifted heir arrives on the galaxy's most dangerous planet and is drawn into a brutal struggle over power and destiny.",7.8,12120,77.4,155,,demo_curated,4.1,14300
120,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Fantasy|Action,"quest|ring|friendship|middle-earth|epic fantasy","Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Orlando Bloom",Peter Jackson,"A humble hobbit begins a perilous journey to destroy a ring of unimaginable power before darkness engulfs Middle-earth.",8.4,25110,68.1,179,,demo_curated,4.5,23480
348,Alien,1979,Horror|Science Fiction,"spaceship|creature feature|survival|corporation|claustrophobia","Sigourney Weaver|Tom Skerritt|John Hurt|Veronica Cartwright|Harry Dean Stanton",Ridley Scott,"The crew of a commercial spaceship answers a distress signal and finds a perfect organism stalking them in the dark.",8.2,14210,49.8,117,,demo_curated,4.3,13720
289,Casablanca,1942,Drama|Romance|War,"world war ii|nightclub|sacrifice|resistance|old hollywood","Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains|Conrad Veidt",Michael Curtiz,"In wartime Morocco, a cynical nightclub owner must choose between love and moral responsibility.",8.2,6050,23.1,102,,demo_curated,4.3,6180
862,Toy Story,1995,Animation|Comedy|Family,"toys|friendship|jealousy|childhood|adventure","Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn",John Lasseter,"A cowboy doll is threatened by a flashy new space toy and learns what being a friend really means.",8.0,13820,52.3,81,,demo_curated,4.2,12620
278,The Shawshank Redemption,1994,Drama|Crime,"prison|hope|friendship|corruption|escape","Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown",Frank Darabont,"Two imprisoned men sustain each other through years of hardship, quiet rebellion, and a stubborn belief in freedom.",8.7,27020,71.0,142,,demo_curated,4.7,24800
238,The Godfather,1972,Drama|Crime,"mafia|family|power|crime dynasty|patriarch","Marlon Brando|Al Pacino|James Caan|Robert Duvall|Diane Keaton",Francis Ford Coppola,"The aging patriarch of a crime family transfers power to a reluctant son who slowly embraces ruthless authority.",8.7,20200,63.7,175,,demo_curated,4.7,19980
76,Before Sunrise,1995,Drama|Romance,"one night|train|conversation|vienna|young love","Ethan Hawke|Julie Delpy|Andrea Eckert|Hanno Pöschl|Karl Bruckschwaiger",Richard Linklater,"Two strangers meet on a train and spend a single night wandering Vienna, talking as if time can be paused.",8.0,5020,19.3,101,,demo_curated,4.4,5440
546554,Knives Out,2019,Comedy|Crime|Mystery,"whodunit|family secrets|detective|mansion|inheritance","Daniel Craig|Ana de Armas|Chris Evans|Jamie Lee Curtis|Michael Shannon",Rian Johnson,"A flamboyant detective investigates a wealthy family's lies, resentments, and performances after a suspicious death.",7.9,10910,50.2,131,,demo_curated,4.2,11750
508442,Soul,2020,Animation|Family|Fantasy|Drama,"jazz|afterlife|purpose|new york city|self discovery","Jamie Foxx|Tina Fey|Questlove|Phylicia Rashad|Angela Bassett",Pete Docter,"A middle-school music teacher slips between life and the afterlife and rethinks what makes a meaningful existence.",8.1,9200,45.1,101,,demo_curated,4.2,8640
634649,Spider-Man: No Way Home,2021,Action|Adventure|Science Fiction,"multiverse|superhero|identity reveal|memory|team-up","Tom Holland|Zendaya|Benedict Cumberbatch|Jacob Batalon|Willem Dafoe",Jon Watts,"Peter Parker's life unravels after his identity is exposed, opening fractures that pull in villains from other worlds.",8.0,13910,81.8,148,,demo_curated,4.1,13880
872585,Oppenheimer,2023,Drama|History,"biography|atomic bomb|scientist|politics|moral conflict","Cillian Murphy|Emily Blunt|Matt Damon|Robert Downey Jr.|Florence Pugh",Christopher Nolan,"The physicist behind the atomic bomb confronts ambition, paranoia, and the devastating reach of scientific power.",8.1,9800,74.6,181,,demo_curated,4.3,12240

